ID,FECHA,ESTATUS,TRANSPORTADORA,GUIA,DEPARTAMENTO,CIUDAD DE DESTINO,TOTAL DE LA ORDEN,PRECIO FLETE,DIAS DE TRANSITO
74041431,2026-05-11,ENTREGADO,TCC,240051561431,VALLE DEL CAUCA,CALI,65600,16878,1
74040201,2026-05-03,ENTREGADO,COORDINADORA,240051560201,SANTANDER,BUCARAMANGA,71600,11651,2
74040718,2026-05-09,ENTREGADO,TCC,240051560718,NARIÑO,PASTO,82500,22575,0
74042336,2026-05-06,EN BODEGA DESTINO,ENVIA,240051562336,CALDAS,MANIZALES,49700,14125,1
74041326,2026-05-05,ENTREGADO,ENVIA,240051561326,ANTIOQUIA,MEDELLIN,77500,23498,2
74040563,2026-04-29,ENTREGADO,COORDINADORA,240051560563,HUILA,NEIVA,73300,15091,2
74041071,2026-05-10,ENTREGADO,INTERRAPIDISIMO,240051561071,ANTIOQUIA,MEDELLIN,75100,21142,0
74041497,2026-05-05,ENTREGADO,SERVIENTREGA,240051561497,VALLE DEL CAUCA,CALI,49800,16803,0
74040982,2026-05-02,ENTREGADO,TCC,240051560982,ATLANTICO,BARRANQUILLA,60800,21829,2
74042135,2026-05-06,TELEMERCADEO,COORDINADORA,240051562135,CALDAS,MANIZALES,64800,20978,1
74040909,2026-04-30,ENTREGADO,SERVIENTREGA,240051560909,CORDOBA,MONTERIA,63400,13650,2
74040383,2026-05-09,ENTREGADO,TCC,240051560383,META,VILLAVICENCIO,99100,11390,2
74041145,2026-05-08,ENTREGADO,ENVIA,240051561145,CALDAS,MANIZALES,75600,20980,2
74041183,2026-05-06,ENTREGADO,COORDINADORA,240051561183,ATLANTICO,BARRANQUILLA,50600,18784,0
74042294,2026-05-07,CITA PROGRAMADA,ENVIA,240051562294,ATLANTICO,BARRANQUILLA,53400,39320,3
74040903,2026-05-13,ENTREGADO,TCC,240051560903,CUNDINAMARCA,BOGOTA,77100,16018,1
74040549,2026-05-08,ENTREGADO,COORDINADORA,240051560549,CUNDINAMARCA,BOGOTA,65500,13468,2
74040153,2026-05-02,ENTREGADO,TCC,240051560153,META,VILLAVICENCIO,61100,23645,1
74042251,2026-05-03,INTENTO DE ENTREGA,ENVIA,240051562251,CORDOBA,MONTERIA,84900,10436,2
74042241,2026-05-03,EN BODEGA ORIGEN,ENVIA,240051562241,RISARALDA,PEREIRA,90800,20103,3
74040224,2026-05-08,ENTREGADO,ENVIA,240051560224,HUILA,NEIVA,54000,12622,1
74042334,2026-05-08,CITA PROGRAMADA,INTERRAPIDISIMO,240051562334,CORDOBA,MONTERIA,61300,39109,1
74041229,2026-05-10,ENTREGADO,SERVIENTREGA,240051561229,CORDOBA,MONTERIA,54400,20646,2
74040524,2026-05-05,ENTREGADO,TCC,240051560524,CORDOBA,MONTERIA,84400,22936,2
74042045,2026-05-11,EN ESPERA DE RX,ENVIA,240051562045,BOLIVAR,CARTAGENA,57800,23685,2
74041011,2026-05-10,ENTREGADO,ENVIA,240051561011,CORDOBA,MONTERIA,45000,20498,1
74042042,2026-05-02,EN ESPERA DE RX,SERVIENTREGA,240051562042,VALLE DEL CAUCA,CALI,55800,13813,2
74042193,2026-05-04,DESPACHADA,INTERRAPIDISIMO,240051562193,MAGDALENA,SANTA MARTA,66300,18532,1
74041978,2026-05-03,NOVEDAD,ENVIA,240051561978,VALLE DEL CAUCA,CALI,92700,23465,8
74040007,2026-05-06,ENTREGADO,COORDINADORA,240051560007,VALLE DEL CAUCA,CALI,87300,11481,2
74041737,2026-05-08,DEVOLUCION,INTERRAPIDISIMO,240051561737,CUNDINAMARCA,BOGOTA,53300,11315,4
74042179,2026-05-04,DESPACHADA,ENVIA,240051562179,CORDOBA,MONTERIA,75400,17803,3
74040307,2026-05-06,ENTREGADO,ENVIA,240051560307,VALLE DEL CAUCA,CALI,96800,14020,2
74040208,2026-05-02,ENTREGADO,ENVIA,240051560208,META,VILLAVICENCIO,79000,17147,2
74041681,2026-05-10,ENTREGADO,ENVIA,240051561681,VALLE DEL CAUCA,CALI,91700,11922,2
74041535,2026-04-28,ENTREGADO,ENVIA,240051561535,SANTANDER,BUCARAMANGA,91000,20217,1
74041286,2026-05-13,ENTREGADO,ENVIA,240051561286,CUNDINAMARCA,BOGOTA,72200,23582,2
74040010,2026-05-07,ENTREGADO,ENVIA,240051560010,BOLIVAR,CARTAGENA,59400,18726,0
74040032,2026-05-11,ENTREGADO,INTERRAPIDISIMO,240051560032,META,VILLAVICENCIO,86800,16862,1
74040188,2026-05-03,ENTREGADO,COORDINADORA,240051560188,VALLE DEL CAUCA,CALI,60500,20057,2
74040915,2026-05-13,ENTREGADO,TCC,240051560915,RISARALDA,PEREIRA,52800,19680,0
74041754,2026-05-04,DEVOLUCION,TCC,240051561754,ATLANTICO,BARRANQUILLA,85400,18355,4
74041908,2026-05-03,DEVOLUCION,SERVIENTREGA,240051561908,CUNDINAMARCA,BOGOTA,63900,11719,7
74040581,2026-05-07,ENTREGADO,TCC,240051560581,SANTANDER,BUCARAMANGA,82400,13259,1
74041892,2026-05-08,DEVOLUCION,ENVIA,240051561892,CALDAS,MANIZALES,49400,18843,10
74041177,2026-05-10,ENTREGADO,ENVIA,240051561177,ANTIOQUIA,MEDELLIN,55700,14776,2
74040268,2026-05-09,ENTREGADO,COORDINADORA,240051560268,RISARALDA,PEREIRA,53400,20543,0
74040393,2026-05-11,ENTREGADO,INTERRAPIDISIMO,240051560393,CORDOBA,MONTERIA,59200,18018,1
74041711,2026-05-10,ENTREGADO,ENVIA,240051561711,RISARALDA,PEREIRA,54600,13072,1
74040514,2026-05-10,ENTREGADO,SERVIENTREGA,240051560514,CORDOBA,MONTERIA,56500,14192,0
74040399,2026-05-07,ENTREGADO,TCC,240051560399,CORDOBA,MONTERIA,67600,18944,2
74040412,2026-05-02,ENTREGADO,ENVIA,240051560412,ATLANTICO,BARRANQUILLA,81400,15963,0
74041134,2026-05-08,ENTREGADO,INTERRAPIDISIMO,240051561134,CALDAS,MANIZALES,58200,23980,1
74041334,2026-05-10,ENTREGADO,INTERRAPIDISIMO,240051561334,BOLIVAR,CARTAGENA,82500,11949,1
74040126,2026-05-05,ENTREGADO,INTERRAPIDISIMO,240051560126,SANTANDER,BUCARAMANGA,89800,21077,0
74040336,2026-05-05,ENTREGADO,INTERRAPIDISIMO,240051560336,CUNDINAMARCA,BOGOTA,45100,19250,2
74040156,2026-05-08,ENTREGADO,INTERRAPIDISIMO,240051560156,VALLE DEL CAUCA,CALI,47500,21183,0
74042303,2026-05-04,CITA PROGRAMADA,ENVIA,240051562303,NARIÑO,PASTO,59600,38155,2
74041196,2026-05-08,ENTREGADO,COORDINADORA,240051561196,TOLIMA,IBAGUE,88900,21076,1
74042291,2026-04-29,INTENTO DE ENTREGA,ENVIA,240051562291,SANTANDER,BUCARAMANGA,66900,13303,2
74040251,2026-05-12,ENTREGADO,TCC,240051560251,VALLE DEL CAUCA,CALI,94600,16309,2
74042207,2026-04-29,EN BODEGA TRANSPORTADORA,INTERRAPIDISIMO,240051562207,BOLIVAR,CARTAGENA,50000,21992,1
74042263,2026-04-30,EN REPARTO,ENVIA,240051562263,NARIÑO,PASTO,88000,14413,2
74040089,2026-05-05,ENTREGADO,SERVIENTREGA,240051560089,VALLE DEL CAUCA,CALI,63100,12051,0
74040133,2026-05-03,ENTREGADO,SERVIENTREGA,240051560133,SANTANDER,BUCARAMANGA,51500,21786,2
74041808,2026-05-03,DEVOLUCION,ENVIA,240051561808,CORDOBA,MONTERIA,91400,18846,13
74041473,2026-05-06,ENTREGADO,INTERRAPIDISIMO,240051561473,CORDOBA,MONTERIA,78700,20779,1
74040987,2026-05-03,ENTREGADO,COORDINADORA,240051560987,META,VILLAVICENCIO,67100,14325,2
74041941,2026-05-03,DEVOLUCION,INTERRAPIDISIMO,240051561941,CUNDINAMARCA,BOGOTA,90600,19559,5
74041201,2026-05-03,ENTREGADO,TCC,240051561201,ATLANTICO,BARRANQUILLA,89800,11758,2
74041065,2026-05-09,ENTREGADO,SERVIENTREGA,240051561065,BOLIVAR,CARTAGENA,47600,18387,0
74041252,2026-05-09,ENTREGADO,INTERRAPIDISIMO,240051561252,META,VILLAVICENCIO,69800,22932,0
74042256,2026-05-09,INTENTO DE ENTREGA,TCC,240051562256,SANTANDER,BUCARAMANGA,49600,19728,3
74041945,2026-05-02,DEVOLUCION,COORDINADORA,240051561945,CUNDINAMARCA,BOGOTA,88400,20856,6
74040170,2026-05-03,ENTREGADO,COORDINADORA,240051560170,ANTIOQUIA,MEDELLIN,79000,20403,1
74040551,2026-05-09,ENTREGADO,INTERRAPIDISIMO,240051560551,NARIÑO,PASTO,71000,11780,2
74040344,2026-04-30,ENTREGADO,COORDINADORA,240051560344,SANTANDER,BUCARAMANGA,60400,21268,0
74042306,2026-05-05,EN BODEGA TRANSPORTADORA,ENVIA,240051562306,META,VILLAVICENCIO,66100,11810,2
74042247,2026-05-09,EN REPARTO,ENVIA,240051562247,NARIÑO,PASTO,95100,11764,2
74042252,2026-05-11,EN REEXPEDICION,ENVIA,240051562252,TOLIMA,IBAGUE,88900,35903,3
74040429,2026-04-30,ENTREGADO,COORDINADORA,240051560429,MAGDALENA,SANTA MARTA,87600,15589,1
74040304,2026-05-12,ENTREGADO,SERVIENTREGA,240051560304,TOLIMA,IBAGUE,75700,21469,1
74040638,2026-04-30,ENTREGADO,SERVIENTREGA,240051560638,RISARALDA,PEREIRA,47800,15163,2
74041116,2026-05-05,ENTREGADO,COORDINADORA,240051561116,CALDAS,MANIZALES,81600,14662,2
74041109,2026-05-12,ENTREGADO,COORDINADORA,240051561109,CORDOBA,MONTERIA,84900,16622,2
74040444,2026-05-04,ENTREGADO,COORDINADORA,240051560444,ANTIOQUIA,MEDELLIN,87400,13389,0
74042020,2026-05-10,RECLAME EN OFICINA,ENVIA,240051562020,RISARALDA,PEREIRA,68900,22251,2
74041613,2026-04-30,ENTREGADO,COORDINADORA,240051561613,NARIÑO,PASTO,92600,20373,1
74040493,2026-05-14,ENTREGADO,TCC,240051560493,BOLIVAR,CARTAGENA,99500,13778,1
74040329,2026-05-11,ENTREGADO,SERVIENTREGA,240051560329,VALLE DEL CAUCA,CALI,71600,14394,0
74040780,2026-05-06,ENTREGADO,TCC,240051560780,RISARALDA,PEREIRA,61900,17009,0
74041429,2026-05-09,ENTREGADO,SERVIENTREGA,240051561429,SANTANDER,BUCARAMANGA,98200,14750,0
74040496,2026-05-06,ENTREGADO,ENVIA,240051560496,TOLIMA,IBAGUE,59200,18979,0
74040186,2026-05-11,ENTREGADO,INTERRAPIDISIMO,240051560186,NARIÑO,PASTO,82100,10046,0
74041727,2026-05-10,ENTREGADO,ENVIA,240051561727,ANTIOQUIA,MEDELLIN,99300,11824,0
74041302,2026-05-03,ENTREGADO,ENVIA,240051561302,CALDAS,MANIZALES,75200,12425,0
74040209,2026-05-04,ENTREGADO,INTERRAPIDISIMO,240051560209,META,VILLAVICENCIO,59200,21969,0
74041757,2026-05-01,DEVOLUCION,ENVIA,240051561757,CUNDINAMARCA,BOGOTA,52800,13231,8
74042199,2026-05-02,EN REEXPEDICION,ENVIA,240051562199,TOLIMA,IBAGUE,76800,42877,1
74041553,2026-05-05,ENTREGADO,ENVIA,240051561553,ANTIOQUIA,MEDELLIN,52500,15793,2
74040803,2026-05-08,ENTREGADO,ENVIA,240051560803,CORDOBA,MONTERIA,92700,12545,0
74042176,2026-05-04,CITA PROGRAMADA,COORDINADORA,240051562176,BOLIVAR,CARTAGENA,86600,42988,2
74040471,2026-05-03,ENTREGADO,ENVIA,240051560471,META,VILLAVICENCIO,77500,13432,0
74042196,2026-05-04,INTENTO DE ENTREGA,TCC,240051562196,VALLE DEL CAUCA,CALI,73000,13088,1
74040386,2026-04-28,ENTREGADO,COORDINADORA,240051560386,ANTIOQUIA,MEDELLIN,98900,10555,0
74041368,2026-05-07,ENTREGADO,COORDINADORA,240051561368,SANTANDER,BUCARAMANGA,91700,20245,1
74042085,2026-05-14,EN BODEGA DESTINO,ENVIA,240051562085,HUILA,NEIVA,93300,16816,3
74041352,2026-04-30,ENTREGADO,TCC,240051561352,META,VILLAVICENCIO,78200,10617,0
74042155,2026-05-07,DESPACHADA,ENVIA,240051562155,TOLIMA,IBAGUE,53000,17407,2
74041529,2026-05-06,ENTREGADO,SERVIENTREGA,240051561529,NARIÑO,PASTO,56900,12286,0
74041516,2026-05-07,ENTREGADO,TCC,240051561516,ATLANTICO,BARRANQUILLA,55600,17363,1
74040261,2026-05-07,ENTREGADO,ENVIA,240051560261,RISARALDA,PEREIRA,90300,21555,2
74042259,2026-05-12,EN BODEGA TRANSPORTADORA,SERVIENTREGA,240051562259,VALLE DEL CAUCA,CALI,77600,10947,3
74040994,2026-05-05,ENTREGADO,INTERRAPIDISIMO,240051560994,TOLIMA,IBAGUE,53000,10754,2
74041946,2026-05-02,DEVOLUCION,INTERRAPIDISIMO,240051561946,SANTANDER,BUCARAMANGA,62900,21408,9
74040388,2026-05-08,ENTREGADO,SERVIENTREGA,240051560388,BOLIVAR,CARTAGENA,72700,23614,1
74041772,2026-05-05,DEVOLUCION,TCC,240051561772,TOLIMA,IBAGUE,67800,21268,6
74040941,2026-05-13,ENTREGADO,TCC,240051560941,CALDAS,MANIZALES,51600,11306,0
74041067,2026-05-10,ENTREGADO,ENVIA,240051561067,CUNDINAMARCA,BOGOTA,86800,16592,2
74040346,2026-05-05,ENTREGADO,ENVIA,240051560346,VALLE DEL CAUCA,CALI,70100,19079,0
74040894,2026-05-14,ENTREGADO,SERVIENTREGA,240051560894,ATLANTICO,BARRANQUILLA,56500,23916,1
74040400,2026-05-03,ENTREGADO,INTERRAPIDISIMO,240051560400,VALLE DEL CAUCA,CALI,58200,21291,0
74041174,2026-05-07,ENTREGADO,ENVIA,240051561174,MAGDALENA,SANTA MARTA,77500,15485,0
74041030,2026-05-09,ENTREGADO,SERVIENTREGA,240051561030,SANTANDER,BUCARAMANGA,99400,14119,1
74040808,2026-05-07,ENTREGADO,INTERRAPIDISIMO,240051560808,RISARALDA,PEREIRA,53800,12731,0
74041461,2026-05-09,ENTREGADO,TCC,240051561461,BOLIVAR,CARTAGENA,64300,23009,1
74040345,2026-05-02,ENTREGADO,COORDINADORA,240051560345,HUILA,NEIVA,74700,20737,0
74040657,2026-05-11,ENTREGADO,ENVIA,240051560657,CUNDINAMARCA,BOGOTA,86800,16751,0
74041949,2026-05-11,DEVOLUCION,TCC,240051561949,ATLANTICO,BARRANQUILLA,95200,14009,9
74041014,2026-05-02,ENTREGADO,COORDINADORA,240051561014,ANTIOQUIA,MEDELLIN,81700,12466,1
74041313,2026-05-07,ENTREGADO,ENVIA,240051561313,ATLANTICO,BARRANQUILLA,99600,23242,2
74040377,2026-04-30,ENTREGADO,ENVIA,240051560377,VALLE DEL CAUCA,CALI,69100,14720,0
74041866,2026-05-06,DEVOLUCION,ENVIA,240051561866,CUNDINAMARCA,BOGOTA,86100,15486,8
74042144,2026-05-10,EN BODEGA DESTINO,ENVIA,240051562144,BOLIVAR,CARTAGENA,73600,19971,1
74040380,2026-05-10,ENTREGADO,SERVIENTREGA,240051560380,META,VILLAVICENCIO,60800,19496,0
74041400,2026-05-02,ENTREGADO,SERVIENTREGA,240051561400,TOLIMA,IBAGUE,63300,22538,2
74042276,2026-05-02,EN BODEGA TRANSPORTADORA,ENVIA,240051562276,RISARALDA,PEREIRA,92100,19260,2
74040312,2026-05-11,ENTREGADO,INTERRAPIDISIMO,240051560312,NARIÑO,PASTO,71300,10947,1
74040743,2026-05-02,ENTREGADO,INTERRAPIDISIMO,240051560743,TOLIMA,IBAGUE,72200,12628,0
74040727,2026-05-12,ENTREGADO,SERVIENTREGA,240051560727,ANTIOQUIA,MEDELLIN,64900,16696,1
74042308,2026-04-28,EN REPARTO,ENVIA,240051562308,SANTANDER,BUCARAMANGA,99300,21712,2
74040419,2026-05-05,ENTREGADO,SERVIENTREGA,240051560419,CORDOBA,MONTERIA,55300,19416,1
74041407,2026-05-06,ENTREGADO,INTERRAPIDISIMO,240051561407,NARIÑO,PASTO,52000,10627,0
74042043,2026-05-06,EN ESPERA DE RX,ENVIA,240051562043,ATLANTICO,BARRANQUILLA,76800,14886,12
74040975,2026-05-07,ENTREGADO,COORDINADORA,240051560975,NARIÑO,PASTO,68200,12302,0
74041657,2026-05-05,ENTREGADO,INTERRAPIDISIMO,240051561657,VALLE DEL CAUCA,CALI,85600,23895,2
74041932,2026-05-11,DEVOLUCION,TCC,240051561932,CORDOBA,MONTERIA,59200,16323,11
74041113,2026-05-08,ENTREGADO,ENVIA,240051561113,HUILA,NEIVA,67900,13929,0
74041970,2026-05-03,NOVEDAD,TCC,240051561970,HUILA,NEIVA,77700,16077,4
74041095,2026-04-28,ENTREGADO,INTERRAPIDISIMO,240051561095,BOLIVAR,CARTAGENA,51500,10649,1
74041602,2026-05-06,ENTREGADO,SERVIENTREGA,240051561602,NARIÑO,PASTO,52200,21162,0
74041987,2026-05-06,RECLAME EN OFICINA,SERVIENTREGA,240051561987,META,VILLAVICENCIO,53200,22871,1
74042024,2026-05-01,EN ESPERA DE RX,TCC,240051562024,MAGDALENA,SANTA MARTA,94800,16654,14
74040302,2026-05-09,ENTREGADO,COORDINADORA,240051560302,CUNDINAMARCA,BOGOTA,74500,23858,0
74040785,2026-05-07,ENTREGADO,INTERRAPIDISIMO,240051560785,MAGDALENA,SANTA MARTA,93600,13894,2
74040119,2026-05-13,ENTREGADO,INTERRAPIDISIMO,240051560119,TOLIMA,IBAGUE,85200,20841,0
74041176,2026-05-06,ENTREGADO,TCC,240051561176,MAGDALENA,SANTA MARTA,51400,23262,2
74041871,2026-05-13,DEVOLUCION,SERVIENTREGA,240051561871,ATLANTICO,BARRANQUILLA,61100,23532,3
74040752,2026-05-01,ENTREGADO,SERVIENTREGA,240051560752,CALDAS,MANIZALES,98800,17070,2
74040164,2026-05-07,ENTREGADO,INTERRAPIDISIMO,240051560164,META,VILLAVICENCIO,70600,14938,1
74041363,2026-05-06,ENTREGADO,COORDINADORA,240051561363,VALLE DEL CAUCA,CALI,77400,19611,2
74041622,2026-05-10,ENTREGADO,SERVIENTREGA,240051561622,META,VILLAVICENCIO,85000,13630,1
74040875,2026-05-05,ENTREGADO,INTERRAPIDISIMO,240051560875,RISARALDA,PEREIRA,81500,21978,0
74040683,2026-04-30,ENTREGADO,INTERRAPIDISIMO,240051560683,RISARALDA,PEREIRA,79400,13171,0
74041013,2026-05-08,ENTREGADO,TCC,240051561013,CORDOBA,MONTERIA,88000,11232,1
74041731,2026-05-04,ENTREGADO,INTERRAPIDISIMO,240051561731,BOLIVAR,CARTAGENA,52200,13167,1
74040083,2026-05-08,ENTREGADO,COORDINADORA,240051560083,BOLIVAR,CARTAGENA,60500,22261,1
74041144,2026-05-08,ENTREGADO,TCC,240051561144,ANTIOQUIA,MEDELLIN,92000,10837,1
74041777,2026-04-29,DEVOLUCION,ENVIA,240051561777,CALDAS,MANIZALES,69100,18423,2
74040037,2026-05-06,ENTREGADO,INTERRAPIDISIMO,240051560037,ANTIOQUIA,MEDELLIN,97800,12510,1
74040964,2026-05-01,ENTREGADO,COORDINADORA,240051560964,ATLANTICO,BARRANQUILLA,57600,13478,1
74041343,2026-05-05,ENTREGADO,SERVIENTREGA,240051561343,VALLE DEL CAUCA,CALI,70300,13839,1
74041959,2026-05-05,DEVOLUCION,ENVIA,240051561959,CUNDINAMARCA,BOGOTA,47500,13386,9
74040519,2026-05-07,ENTREGADO,TCC,240051560519,RISARALDA,PEREIRA,63300,18675,2
74040809,2026-05-05,ENTREGADO,ENVIA,240051560809,HUILA,NEIVA,74700,21733,0
74040986,2026-05-05,ENTREGADO,INTERRAPIDISIMO,240051560986,TOLIMA,IBAGUE,86500,16012,1
74040249,2026-05-06,ENTREGADO,TCC,240051560249,META,VILLAVICENCIO,73700,18501,1
74040359,2026-05-09,ENTREGADO,INTERRAPIDISIMO,240051560359,CORDOBA,MONTERIA,68800,21134,1
74042031,2026-05-10,EN ESPERA DE RX,ENVIA,240051562031,CUNDINAMARCA,BOGOTA,95900,10047,6
74040161,2026-05-05,ENTREGADO,TCC,240051560161,HUILA,NEIVA,81200,13682,2
74042210,2026-05-02,EN BODEGA DESTINO,ENVIA,240051562210,RISARALDA,PEREIRA,89900,21517,1
74042142,2026-05-08,EN BODEGA TRANSPORTADORA,ENVIA,240051562142,RISARALDA,PEREIRA,94000,20030,1
74041234,2026-05-06,ENTREGADO,ENVIA,240051561234,TOLIMA,IBAGUE,99800,11356,0
74040432,2026-05-09,ENTREGADO,TCC,240051560432,META,VILLAVICENCIO,78100,10265,0
74040885,2026-05-03,ENTREGADO,INTERRAPIDISIMO,240051560885,TOLIMA,IBAGUE,71700,23403,2
74041774,2026-05-04,DEVOLUCION,COORDINADORA,240051561774,HUILA,NEIVA,62400,18708,10
74041197,2026-05-02,ENTREGADO,INTERRAPIDISIMO,240051561197,NARIÑO,PASTO,70000,15373,1
74041689,2026-05-09,ENTREGADO,SERVIENTREGA,240051561689,NARIÑO,PASTO,73100,23314,1
74040402,2026-05-04,ENTREGADO,SERVIENTREGA,240051560402,HUILA,NEIVA,87200,12747,1
74041735,2026-05-11,DEVOLUCION,ENVIA,240051561735,CUNDINAMARCA,BOGOTA,45300,10733,14
74041023,2026-05-05,ENTREGADO,ENVIA,240051561023,TOLIMA,IBAGUE,90600,12522,1
74040525,2026-05-04,ENTREGADO,ENVIA,240051560525,MAGDALENA,SANTA MARTA,74500,21891,1
74041641,2026-05-07,ENTREGADO,ENVIA,240051561641,VALLE DEL CAUCA,CALI,71500,15837,1
74041222,2026-05-05,ENTREGADO,COORDINADORA,240051561222,TOLIMA,IBAGUE,72100,17694,0
74042243,2026-05-10,INTENTO DE ENTREGA,ENVIA,240051562243,VALLE DEL CAUCA,CALI,73300,18649,3
74040692,2026-05-04,ENTREGADO,SERVIENTREGA,240051560692,CUNDINAMARCA,BOGOTA,88600,21892,1
74040979,2026-05-06,ENTREGADO,ENVIA,240051560979,ATLANTICO,BARRANQUILLA,66900,13321,0
74040596,2026-05-02,ENTREGADO,COORDINADORA,240051560596,BOLIVAR,CARTAGENA,55200,17385,0
74040686,2026-05-09,ENTREGADO,ENVIA,240051560686,CORDOBA,MONTERIA,82000,11670,0
74040165,2026-05-11,ENTREGADO,TCC,240051560165,VALLE DEL CAUCA,CALI,89500,21995,0
74041840,2026-05-02,DEVOLUCION,SERVIENTREGA,240051561840,CUNDINAMARCA,BOGOTA,99100,13417,9
74040137,2026-05-02,ENTREGADO,COORDINADORA,240051560137,ANTIOQUIA,MEDELLIN,47800,15733,0
74041359,2026-04-29,ENTREGADO,ENVIA,240051561359,MAGDALENA,SANTA MARTA,81600,22731,1
74040469,2026-05-05,ENTREGADO,COORDINADORA,240051560469,NARIÑO,PASTO,73400,13948,2
74041032,2026-05-07,ENTREGADO,COORDINADORA,240051561032,RISARALDA,PEREIRA,87000,19822,2
74040907,2026-05-09,ENTREGADO,INTERRAPIDISIMO,240051560907,NARIÑO,PASTO,83400,15873,0
74041141,2026-05-04,ENTREGADO,COORDINADORA,240051561141,VALLE DEL CAUCA,CALI,77800,16019,2
74041253,2026-05-04,ENTREGADO,ENVIA,240051561253,NARIÑO,PASTO,79400,23560,2
74041806,2026-04-28,DEVOLUCION,TCC,240051561806,CORDOBA,MONTERIA,87300,23608,6
74040502,2026-05-09,ENTREGADO,TCC,240051560502,ANTIOQUIA,MEDELLIN,70600,12272,1
74042228,2026-05-08,EN REPARTO,TCC,240051562228,ANTIOQUIA,MEDELLIN,51800,15817,3
74041933,2026-05-07,DEVOLUCION,ENVIA,240051561933,HUILA,NEIVA,91100,15890,12
74042184,2026-04-30,TELEMERCADEO,COORDINADORA,240051562184,NARIÑO,PASTO,74400,20827,3
74040427,2026-04-30,ENTREGADO,INTERRAPIDISIMO,240051560427,VALLE DEL CAUCA,CALI,81600,10421,1
74040424,2026-04-28,ENTREGADO,ENVIA,240051560424,META,VILLAVICENCIO,45200,18866,2
74041365,2026-04-29,ENTREGADO,INTERRAPIDISIMO,240051561365,NARIÑO,PASTO,93400,22072,2
74041575,2026-05-09,ENTREGADO,INTERRAPIDISIMO,240051561575,META,VILLAVICENCIO,86400,15320,1
74042325,2026-05-08,EN REPARTO,ENVIA,240051562325,ANTIOQUIA,MEDELLIN,50400,20083,2
74042260,2026-05-04,EN BODEGA TRANSPORTADORA,ENVIA,240051562260,VALLE DEL CAUCA,CALI,70900,21497,3
74042200,2026-05-08,INTENTO DE ENTREGA,TCC,240051562200,CALDAS,MANIZALES,56000,21241,3
74041648,2026-05-08,ENTREGADO,COORDINADORA,240051561648,SANTANDER,BUCARAMANGA,54200,18003,0
74040257,2026-05-04,ENTREGADO,ENVIA,240051560257,CALDAS,MANIZALES,73200,15251,0
74041718,2026-05-05,ENTREGADO,COORDINADORA,240051561718,VALLE DEL CAUCA,CALI,75800,12204,0
74040881,2026-05-08,ENTREGADO,ENVIA,240051560881,CUNDINAMARCA,BOGOTA,57800,19599,2
74040766,2026-05-09,ENTREGADO,TCC,240051560766,TOLIMA,IBAGUE,63400,19838,2
