ID,FECHA,ESTATUS,TRANSPORTADORA,NÚMERO GUIA,DEPARTAMENTO DESTINO,CIUDAD DESTINO,VALOR DE COMPRA EN PRODUCTOS,GANANCIA,TOTAL EN PRECIOS DE PROVEEDOR,PRECIO FLETE,COSTO DEVOLUCION FLETE,FECHA DE ÚLTIMO MOVIMIENTO,NOVEDAD,CATEGORÍAS
5014133,20-12-2025,NOVEDAD SOLUCIONADA,BLUE,2180846404,BIO - BIO,ALTO BIOBIO,20990,,5000,10027.77,0,22-12-2025,DIRECCION INUBICABLE,"Cocina, Hogar"
5013923,20-12-2025,EN REPARTO A DOMICILIO,STARKEN,260629535,LOS RIOS,VALDIVIA,31485,,7500,6842.5,0,24-12-2025,,"Belleza, Bienestar"
5013592,20-12-2025,ENTREGADO,STARKEN,260501972,METROPOLITANA DE SANTIAGO,LAMPA,29900,16250,7700,5950,0,22-12-2025,,"Cocina, Hogar, Camping"
5013519,20-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260595018,ARAUCANIA,TEMUCO,39990,,19990,6842.5,0,23-12-2025,RECHAZADO POR CLIENTE,"Tecnología, Hogar, Ferreteria"
5013431,20-12-2025,ADMITIDA EN SUCURSAL,BLUE,2181310961,BIO - BIO,CANETE,26900,,7990,10027.77,0,26-12-2025,,Belleza
5013216,20-12-2025,CANCELADO,STARKEN,,ÑUBLE,CHILLAN,40485,,14400,6842.5,0,22-12-2025,,Salud
5013113,20-12-2025,ENTREGADO,STARKEN,260474520,LIBERTADOR GENERAL BERNARDO O`HIGGINS,RANCAGUA,20990,9564,5000,6426,0,22-12-2025,,"Cocina, Hogar"
5012595,20-12-2025,EN TRANSITO,STARKEN,260491785,METROPOLITANA DE SANTIAGO,SANTIAGO,20990,,3750,5474,0,22-12-2025,,"Belleza, Bienestar"
5012256,20-12-2025,ENTREGADO,STARKEN,260504983,VALPARAISO,PANQUEHUE,29990,13897.6,9000,7092.4,0,23-12-2025,,Hogar
5012255,20-12-2025,ENTREGADO,STARKEN,260491884,MAULE,CURICO,20990,10397.5,3750,6842.5,0,22-12-2025,,"Belleza, Bienestar"
5012097,20-12-2025,ENTREGADO,STARKEN,260540278,BIO - BIO,CONCEPCION,28900,12307.5,9750,6842.5,0,23-12-2025,NO SE UBICA DESTINATARIO,Belleza
5011716,20-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260474505,VALPARAISO,CARTAGENA,20990,,5000,7092.4,0,22-12-2025,RECHAZADO POR CLIENTE,"Cocina, Hogar"
5011661,20-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260634544,METROPOLITANA DE SANTIAGO,SAN BERNARDO,28900,,7990,5474,0,23-12-2025,RECHAZADO POR CLIENTE,"Moda, Belleza, Otro"
5011218,20-12-2025,PENDIENTE CONFIRMACION,STARKEN,,COQUIMBO,LA SERENA,28900,,9750,6783,0,20-12-2025,,Belleza
5011011,20-12-2025,CANCELADO,STARKEN,,BIO - BIO,TALCAHUANO,40485,,14400,6842.5,0,20-12-2025,,Salud
5010958,20-12-2025,PENDIENTE CONFIRMACION,STARKEN,,VALPARAISO,PUTAENDO,29990,,9000,7092.4,0,20-12-2025,,Hogar
5010774,20-12-2025,NOVEDAD,STARKEN,260634554,METROPOLITANA DE SANTIAGO,SANTIAGO,28900,,7990,5474,0,23-12-2025,RECHAZADO POR CLIENTE,"Moda, Belleza, Otro"
5010760,20-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,SANTIAGO,28900,,7990,5474,0,21-12-2025,,"Moda, Belleza, Otro"
5010748,20-12-2025,ENTREGADO,STARKEN,260467446,LOS LAGOS,PUERTO MONTT,39990,13157.5,19990,6842.5,0,22-12-2025,,"Tecnología, Hogar, Ferreteria"
5010693,20-12-2025,ENTREGADO,STARKEN,260606257,METROPOLITANA DE SANTIAGO,BUIN,20990,10040,5000,5950,0,24-12-2025,,"Cocina, Hogar"
5010392,20-12-2025,ENTREGADO,STARKEN,260492016,ÑUBLE,PEMUCO,31485,15262.3,7500,8722.7,0,22-12-2025,,"Belleza, Bienestar"
5010185,20-12-2025,INGRESO CAMION,BLUE,2180980071,BIO - BIO,SAN PEDRO DE LA PAZ,20990,,3750,7727.62,0,22-12-2025,,"Belleza, Bienestar"
5010023,20-12-2025,EN REPARTO A DOMICILIO,STARKEN,260468357,ANTOFAGASTA,ANTOFAGASTA,59985,,39980,7259,0,22-12-2025,,"Tecnología, Hogar, Ferreteria"
5009906,20-12-2025,ENTREGADO,STARKEN,260558450,METROPOLITANA DE SANTIAGO,LA FLORIDA,29990,15516,9000,5474,0,23-12-2025,,Hogar
5009807,20-12-2025,ENTREGADO,STARKEN,260474528,COQUIMBO,COQUIMBO,104950,73167,25000,6783,0,23-12-2025,,"Cocina, Hogar"
5009795,20-12-2025,EN DESTINO,STARKEN,260500853,MAULE,TALCA,20990,,3750,6842.5,0,22-12-2025,,"Belleza, Bienestar"
5009765,20-12-2025,EN DESTINO,STARKEN,260468387,ANTOFAGASTA,CALAMA,39990,,19990,7259,0,22-12-2025,,"Tecnología, Hogar, Ferreteria"
5009584,20-12-2025,EN TRANSITO,STARKEN,260474898,METROPOLITANA DE SANTIAGO,LA FLORIDA,20990,,5000,5474,0,22-12-2025,RECHAZADO POR CLIENTE,"Cocina, Hogar"
5009398,20-12-2025,ENTREGADO,STARKEN,260500995,METROPOLITANA DE SANTIAGO,LA CISTERNA,31485,18511,7500,5474,0,22-12-2025,,"Belleza, Bienestar"
5009311,20-12-2025,PENDIENTE CONFIRMACION,STARKEN,,ATACAMA,COPIAPO,26990,,7200,6783,0,20-12-2025,,Salud
5009305,20-12-2025,CANCELADO,STARKEN,,ANTOFAGASTA,TOCOPILLA,28900,,7990,9341.5,0,20-12-2025,,"Moda, Belleza, Otro"
5009091,20-12-2025,NOVEDAD,STARKEN,260629677,VALPARAISO,VALPARAISO,20990,,3750,6426,0,24-12-2025,RECHAZADO POR CLIENTE,"Belleza, Bienestar"
5009075,20-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260526724,METROPOLITANA DE SANTIAGO,SANTIAGO,43350,,15980,5474,0,23-12-2025,RECHAZADO POR CLIENTE,"Moda, Belleza, Otro"
5008930,20-12-2025,ENTREGADO,STARKEN,260515267,VALPARAISO,CABILDO,26990,12697.6,7200,7092.4,0,22-12-2025,,Salud
5008851,20-12-2025,CANCELADO,STARKEN,,MAULE,CURICO,28900,,7990,6842.5,0,20-12-2025,,"Moda, Belleza, Otro"
5008787,20-12-2025,ENTREGADO,STARKEN,260526772,COQUIMBO,MONTE PATRIA,43350,19849.2,15980,7520.8,0,22-12-2025,,"Moda, Belleza, Otro"
5008781,20-12-2025,ENTREGADO,STARKEN,260526814,ARAUCANIA,TEMUCO,43350,20527.5,15980,6842.5,0,22-12-2025,,"Moda, Belleza, Otro"
5008438,20-12-2025,EN DESTINO,STARKEN,260501167,VALPARAISO,VALPARAISO,31485,,7500,6426,0,22-12-2025,RECHAZADO POR CLIENTE,"Belleza, Bienestar"
5008399,20-12-2025,NOVEDAD SOLUCIONADA,VELOCES,V4002023618,METROPOLITANA DE SANTIAGO,PUENTE ALTO,29900,,7700,5355,0,26-12-2025,El cliente no estaba en su domicilio,"Cocina, Hogar, Camping"
5008313,20-12-2025,NOVEDAD SOLUCIONADA,BLUE,2181215853,BIO - BIO,SAN PEDRO DE LA PAZ,43350,,15980,7727.62,0,23-12-2025,DESTINATARIO RECHAZA ENTREGA,"Moda, Belleza, Otro"
5008151,20-12-2025,ENTREGADO,STARKEN,260526991,ANTOFAGASTA,CALAMA,28900,13651,7990,7259,0,22-12-2025,,"Moda, Belleza, Otro"
5005787,19-12-2025,NOVEDAD,STARKEN,260370695,ANTOFAGASTA,CALAMA,26900,,7990,7259,0,22-12-2025,RECHAZADO POR CLIENTE,Belleza
5004670,19-12-2025,ENTREGADO,STARKEN,260527564,ATACAMA,COPIAPO,28900,14127,7990,6783,0,22-12-2025,,"Moda, Belleza, Otro"
5004605,19-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,COLINA,28900,,7990,5950,0,21-12-2025,,"Moda, Belleza, Otro"
5003534,19-12-2025,ENTREGADO,STARKEN,260474613,METROPOLITANA DE SANTIAGO,SAN BERNARDO,20990,10516,5000,5474,0,22-12-2025,,"Cocina, Hogar"
5003305,19-12-2025,CANCELADO,STARKEN,,ARAUCANIA,TEMUCO,39990,,19990,6842.5,0,22-12-2025,,"Tecnología, Hogar, Ferreteria"
5003114,19-12-2025,ENTREGADO,STARKEN,260515353,VALPARAISO,QUILLOTA,29990,14564,9000,6426,0,23-12-2025,,Hogar
5002212,19-12-2025,ENTREGADO,STARKEN,260515407,VALPARAISO,LOS ANDES,29990,14564,9000,6426,0,23-12-2025,,Hogar
5002138,19-12-2025,ENTREGADO,STARKEN,260474629,BIO - BIO,TALCAHUANO,20990,9147.5,5000,6842.5,0,22-12-2025,,"Cocina, Hogar"
5002074,19-12-2025,ENTREGADO,STARKEN,260503118,VALPARAISO,LA LIGUA,20990,10814,3750,6426,0,22-12-2025,,"Belleza, Bienestar"
5001905,19-12-2025,CANCELADO,STARKEN,,ARAUCANIA,LONCOCHE,40485,,14400,7592.2,0,22-12-2025,,Salud
5001640,19-12-2025,ENTREGADO,STARKEN,260468442,ÑUBLE,SAN CARLOS,39990,13157.5,19990,6842.5,0,22-12-2025,,"Tecnología, Hogar, Ferreteria"
5001297,19-12-2025,INGRESO CAMION,BLUE,2180804382,LOS RIOS,VALDIVIA,24900,,6300,8179.52,0,23-12-2025,,Salud
5000920,19-12-2025,ENTREGADO,STARKEN,260620358,COQUIMBO,COQUIMBO,34900,14117,14000,6783,0,24-12-2025,,"Tecnología, Hogar, Ferreteria"
5000909,19-12-2025,CANCELADO,STARKEN,,COQUIMBO,COQUIMBO,34900,,14000,6783,0,21-12-2025,,"Tecnología, Hogar, Ferreteria"
4999934,19-12-2025,CANCELADO,VELOCES,,METROPOLITANA DE SANTIAGO,PUENTE ALTO,29900,,7700,5355,0,22-12-2025,,"Cocina, Hogar, Camping"
4999131,19-12-2025,ENTREGADO,STARKEN,260503950,VALPARAISO,LLAILLAY,20990,10814,3750,6426,0,22-12-2025,,"Belleza, Bienestar"
4999122,19-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260474631,ATACAMA,COPIAPO,20990,,5000,6783,0,23-12-2025,RECHAZADO POR CLIENTE,"Cocina, Hogar"
4998001,19-12-2025,CANCELADO,STARKEN,,ANTOFAGASTA,CALAMA,26900,,7990,7259,0,19-12-2025,,Belleza
4997711,19-12-2025,EN REPARTO A DOMICILIO,STARKEN,260474658,LOS LAGOS,ANCUD,20990,,5000,6842.5,0,22-12-2025,,"Cocina, Hogar"
4997192,19-12-2025,ENTREGADO,STARKEN,260528622,BIO - BIO,LOS ANGELES,28900,14067.5,7990,6842.5,0,22-12-2025,,"Moda, Belleza, Otro"
4996995,19-12-2025,ENTREGADO,STARKEN,260396017,VALPARAISO,SAN FELIPE,29990,14564,9000,6426,0,23-12-2025,,Hogar
4996562,19-12-2025,ENTREGADO,STARKEN,260396272,METROPOLITANA DE SANTIAGO,VITACURA,35880,18856,11550,5474,0,22-12-2025,,"Cocina, Hogar, Camping"
4995916,18-12-2025,CANCELADO,BLUE,,MAULE,TALCA,37350,,12600,7530.14,0,19-12-2025,,Salud
4995641,18-12-2025,CANCELADO,STARKEN,,ANTOFAGASTA,ANTOFAGASTA,20990,,5000,7259,0,19-12-2025,,"Cocina, Hogar"
4995399,18-12-2025,CANCELADO,STARKEN,,LOS LAGOS,CASTRO,20990,,5000,6842.5,0,22-12-2025,,"Cocina, Hogar"
4995350,18-12-2025,EN REPARTO A DOMICILIO,STARKEN,260595430,VALPARAISO,VILLA ALEMANA,39990,,19990,6426,0,23-12-2025,,"Tecnología, Hogar, Ferreteria"
4995144,18-12-2025,ENTREGADO,STARKEN,260528635,ANTOFAGASTA,CALAMA,28900,13651,7990,7259,0,22-12-2025,,"Moda, Belleza, Otro"
4994900,18-12-2025,CANCELADO,STARKEN,,VALPARAISO,VINA DEL MAR,20990,,3750,6426,0,21-12-2025,,"Belleza, Bienestar"
4994815,18-12-2025,ENTREGADO,STARKEN,260395019,COQUIMBO,COQUIMBO,26990,13007,7200,6783,0,22-12-2025,,Salud
4994339,18-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,MACUL,29900,,7700,5474,0,18-12-2025,,"Cocina, Hogar, Camping"
4994123,18-12-2025,ENTREGADO,STARKEN,260396573,MAULE,PARRAL,29990,13397.8,9000,7592.2,0,23-12-2025,,Hogar
4993921,18-12-2025,INGRESO CAMION,BLUE,2180394952,LOS LAGOS,OSORNO,24900,,6300,8179.52,0,22-12-2025,DESTINATARIO RECHAZA ENTREGA,Salud
4993750,18-12-2025,NOVEDAD,BLUE,2180394963,LIBERTADOR GENERAL BERNARDO O`HIGGINS,MACHALI,37350,,12600,7838.33,0,22-12-2025,,Salud
4993689,18-12-2025,INGRESO CAMION,BLUE,2180394974,ATACAMA,VALLENAR,24900,,6300,8049.65,0,22-12-2025,,Salud
4993529,18-12-2025,EN DESTINO,STARKEN,260551278,LOS LAGOS,MAULLIN,29990,,9000,8722.7,0,23-12-2025,,Hogar
4993514,18-12-2025,ENTREGADO,STARKEN,260396632,METROPOLITANA DE SANTIAGO,PIRQUE,29990,15040,9000,5950,0,23-12-2025,,Hogar
4993342,18-12-2025,EN DESTINO,STARKEN,260396216,ANTOFAGASTA,ANTOFAGASTA,26990,,7200,7259,0,22-12-2025,,Salud
4993317,18-12-2025,ENTREGADO,STARKEN,260528677,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,28900,15436,7990,5474,0,22-12-2025,RECHAZADO POR CLIENTE,"Moda, Belleza, Otro"
4993125,18-12-2025,EN DESTINO,STARKEN,260528707,LOS LAGOS,LOS MUERMOS,28900,,7990,8722.7,0,22-12-2025,,"Moda, Belleza, Otro"
4992948,18-12-2025,ENTREGADO,STARKEN,260396734,VALPARAISO,PUCHUNCAVI,29900,15107.6,7700,7092.4,0,22-12-2025,,"Cocina, Hogar, Camping"
4992891,18-12-2025,EN DESTINO,STARKEN,260540643,LIBERTADOR GENERAL BERNARDO O`HIGGINS,PEUMO,26900,,7990,8092,0,23-12-2025,,Belleza
4992651,18-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,PROVIDENCIA,20990,,5000,5474,0,22-12-2025,,"Cocina, Hogar"
4992491,18-12-2025,EN DESTINO,STARKEN,260396516,LIBERTADOR GENERAL BERNARDO O`HIGGINS,PEUMO,40485,,14400,8092,0,22-12-2025,,Salud
4992070,18-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260468452,ARAUCANIA,CUNCO,39990,,19990,8722.7,0,22-12-2025,DIRECCION INCORRECTA,"Tecnología, Hogar, Ferreteria"
4991967,18-12-2025,NOVEDAD SOLUCIONADA,VELOCES,V4002028457,METROPOLITANA DE SANTIAGO,PUENTE ALTO,28900,,7990,5355,0,27-12-2025,Reprogramar entrega,"Moda, Belleza, Otro"
4991778,18-12-2025,DEVOLUCION A REMITENTE,BLUE,2180394996,MAULE,LINARES,24900,,6300,7838.33,0,22-12-2025,DESTINATARIO RECHAZA ENTREGA,Salud
4990528,18-12-2025,CANCELADO,STARKEN,,ATACAMA,VALLENAR,28900,,7990,7520.8,0,21-12-2025,,"Moda, Belleza, Otro"
4989823,18-12-2025,CANCELADO,BLUE,,ANTOFAGASTA,ANTOFAGASTA,24900,,6300,8828.91,0,22-12-2025,,Salud
4989512,18-12-2025,ENTREGADO,STARKEN,260528752,METROPOLITANA DE SANTIAGO,LA PINTANA,28900,15436,7990,5474,0,22-12-2025,,"Moda, Belleza, Otro"
4989407,18-12-2025,ENTREGADO,BLUE,2181101996,BIO - BIO,HUALPEN,20990,9190.35,3750,8049.65,0,22-12-2025,,"Belleza, Bienestar"
4988737,18-12-2025,NOVEDAD,STARKEN,260553249,METROPOLITANA DE SANTIAGO,EL BOSQUE,26900,,7990,5474,0,23-12-2025,RECHAZADO POR CLIENTE,Belleza
4988720,18-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,EL BOSQUE,26900,,7990,5474,0,22-12-2025,,Belleza
4988668,18-12-2025,EN TRANSITO,STARKEN,260528788,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,28900,,7990,5474,0,22-12-2025,RECHAZADO POR CLIENTE,"Moda, Belleza, Otro"
4988457,18-12-2025,ENTREGADO,STARKEN,260398838,LOS LAGOS,PUERTO VARAS,39990,13157.5,19990,6842.5,0,22-12-2025,,"Tecnología, Hogar, Ferreteria"
4988273,18-12-2025,CANCELADO,STARKEN,,BIO - BIO,ARAUCO,20990,,3750,6842.5,0,21-12-2025,,"Belleza, Bienestar"
4988007,18-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260398236,LOS RIOS,LANCO,26990,,7200,6842.5,0,22-12-2025,RECHAZADO POR CLIENTE,Salud
4987966,18-12-2025,ENTREGADO,VELOCES,V4002020388,METROPOLITANA DE SANTIAGO,PUENTE ALTO,39990,14645,19990,5355,0,23-12-2025,,"Tecnología, Hogar, Ferreteria"
4987882,18-12-2025,EN DESTINO,STARKEN,260510212,ARAUCANIA,VICTORIA,20990,,3750,6842.5,0,22-12-2025,,"Belleza, Bienestar"
4987856,18-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,SANTIAGO,28900,,7990,5474,0,20-12-2025,,"Moda, Belleza, Otro"
4987806,18-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,SANTIAGO,43350,,15980,5474,0,20-12-2025,,"Moda, Belleza, Otro"
4987229,18-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260285038,ANTOFAGASTA,ANTOFAGASTA,20990,,5000,7259,0,19-12-2025,RECHAZADO POR CLIENTE,"Cocina, Hogar"
4986747,18-12-2025,ENTREGADO,BLUE,2179041336,ARAUCANIA,PUCON,24900,10066.83,6300,8533.17,0,19-12-2025,,Salud
4986614,18-12-2025,ENTREGADO,STARKEN,260294443,LIBERTADOR GENERAL BERNARDO O`HIGGINS,PICHILEMU,40485,17993,14400,8092,0,19-12-2025,,Salud
4986431,18-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260298737,VALPARAISO,VINA DEL MAR,28900,,7990,6426,0,22-12-2025,NO SE UBICA DESTINATARIO,"Moda, Belleza, Otro"
4986192,18-12-2025,CANCELADO,STARKEN,,VALPARAISO,VINA DEL MAR,26900,,7990,6426,0,22-12-2025,,Belleza
4985844,18-12-2025,ENTREGADO,STARKEN,260294056,METROPOLITANA DE SANTIAGO,LA REINA,20990,11766,3750,5474,0,19-12-2025,,"Belleza, Bienestar"
4985819,18-12-2025,EN DESTINO,STARKEN,260259403,BIO - BIO,LOS ANGELES,39990,,19990,6842.5,0,19-12-2025,RECHAZADO POR CLIENTE,"Tecnología, Hogar, Ferreteria"
4985769,18-12-2025,EN TRANSITO,STARKEN,260402133,METROPOLITANA DE SANTIAGO,LA FLORIDA,28900,,9750,5474,0,22-12-2025,RECHAZADO POR CLIENTE,Belleza
4985576,18-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,28900,,7990,5474,0,18-12-2025,,"Moda, Belleza, Otro"
4985492,18-12-2025,EN TRANSITO,STARKEN,260298773,METROPOLITANA DE SANTIAGO,CONCHALI,28900,,7990,5474,0,22-12-2025,RECHAZADO POR CLIENTE,"Moda, Belleza, Otro"
4985453,18-12-2025,NOVEDAD SOLUCIONADA,BLUE,2179041874,METROPOLITANA DE SANTIAGO,HUECHURABA,24900,,6300,5971.62,0,19-12-2025,DIRECCIÓN INCORRECTA (FALTAN DATOS),Salud
4984879,17-12-2025,ENTREGADO,STARKEN,260298794,LIBERTADOR GENERAL BERNARDO O`HIGGINS,PICHILEMU,28900,12818,7990,8092,0,22-12-2025,,"Moda, Belleza, Otro"
4984822,17-12-2025,EN DESTINO,STARKEN,260298814,ANTOFAGASTA,CALAMA,43350,,15980,7259,0,23-12-2025,,"Moda, Belleza, Otro"
4984572,17-12-2025,CANCELADO,VELOCES,,METROPOLITANA DE SANTIAGO,PUENTE ALTO,26900,,7990,5355,0,21-12-2025,,Belleza
4984396,17-12-2025,ENTREGADO,STARKEN,260259481,VALPARAISO,SAN ANTONIO,39990,13574,19990,6426,0,19-12-2025,,"Tecnología, Hogar, Ferreteria"
4983888,17-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,PUDAHUEL,28900,,7990,5474,0,20-12-2025,,"Moda, Belleza, Otro"
4983735,17-12-2025,NOVEDAD,STARKEN,260170176,METROPOLITANA DE SANTIAGO,EL BOSQUE,26900,,7990,5474,0,23-12-2025,RECHAZADO POR CLIENTE,Belleza
4983667,17-12-2025,ENTREGADO,STARKEN,260269363,COQUIMBO,MONTE PATRIA,26900,10879.2,8500,7520.8,0,19-12-2025,,"Moda, Belleza"
4983446,17-12-2025,ENTREGADO,STARKEN,260294597,ATACAMA,CALDERA,26990,13007,7200,6783,0,19-12-2025,DIRECCION INCORRECTA,Salud
4983445,17-12-2025,CANCELADO,STARKEN,,ATACAMA,CALDERA,26990,,7200,6783,0,18-12-2025,,Salud
4983009,17-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,COLINA,43350,,15980,5950,0,17-12-2025,,"Moda, Belleza, Otro"
4982647,17-12-2025,ENTREGADO,STARKEN,260299240,METROPOLITANA DE SANTIAGO,LAMPA,28900,14960,7990,5950,0,22-12-2025,,"Moda, Belleza, Otro"
4982531,17-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,PENALOLEN,26900,,7990,5474,0,18-12-2025,,Belleza
4981984,17-12-2025,INGRESO CAMION,BLUE,2179433093,ATACAMA,EL SALVADOR,24900,,6300,10900.44,0,20-12-2025,,Salud
4981936,17-12-2025,ENTREGADO,STARKEN,260294186,VALPARAISO,LIMACHE,31485,16892.6,7500,7092.4,0,19-12-2025,,"Belleza, Bienestar"
4981739,17-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260298887,COQUIMBO,COQUIMBO,28900,,7990,6783,0,22-12-2025,NO SE UBICA DESTINATARIO,"Moda, Belleza, Otro"
4981611,17-12-2025,CANCELADO,STARKEN,,COQUIMBO,COQUIMBO,43350,,15980,6783,0,20-12-2025,,"Moda, Belleza, Otro"
4981522,17-12-2025,EN DESTINO,STARKEN,260294177,METROPOLITANA DE SANTIAGO,NUNOA,31485,,7500,5474,0,19-12-2025,RECHAZADO POR CLIENTE,"Belleza, Bienestar"
4981357,17-12-2025,CANCELADO,STARKEN,,COQUIMBO,COQUIMBO,28900,,7990,6783,0,20-12-2025,,"Moda, Belleza, Otro"
4981351,17-12-2025,EN TRANSITO,STARKEN,260298900,METROPOLITANA DE SANTIAGO,PENAFLOR,28900,,7990,5950,0,22-12-2025,RECHAZADO POR CLIENTE,"Moda, Belleza, Otro"
4981033,17-12-2025,ENTREGADO,STARKEN,260285049,ANTOFAGASTA,SAN PEDRO DE ATACAMA,20990,6648.5,5000,9341.5,0,19-12-2025,,"Cocina, Hogar"
4981016,17-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260286959,MAULE,PARRAL,29990,,9000,7592.2,0,20-12-2025,NO SE UBICA DESTINATARIO,Hogar
4980919,17-12-2025,CANCELADO,STARKEN,,MAULE,LINARES,29900,,7700,7592.2,0,18-12-2025,,"Cocina, Hogar, Camping"
4980628,17-12-2025,CANCELADO,BLUE,,COQUIMBO,ILLAPEL,24900,,6300,7838.33,0,20-12-2025,,Salud
4979965,17-12-2025,ENTREGADO,STARKEN,260298941,ATACAMA,CALDERA,28900,14127,7990,6783,0,22-12-2025,,"Moda, Belleza, Otro"
4979403,17-12-2025,EN DESTINO,STARKEN,260311932,METROPOLITANA DE SANTIAGO,TALAGANTE,28900,,9750,5950,0,19-12-2025,RECHAZADO POR CLIENTE,Belleza
4979087,17-12-2025,CANCELADO,STARKEN,,COQUIMBO,MONTE PATRIA,26900,,8500,7520.8,0,17-12-2025,,"Moda, Belleza"
4978828,17-12-2025,EN REPARTO A DOMICILIO,STARKEN,260402185,LOS LAGOS,ANCUD,28900,,9750,6842.5,0,22-12-2025,,Belleza
4978763,17-12-2025,EN DESTINO,STARKEN,260287014,METROPOLITANA DE SANTIAGO,LAMPA,29900,,3850,5950,0,19-12-2025,RECHAZADO POR CLIENTE,"Cocina, Hogar, Camping"
4978611,17-12-2025,ENTREGADO,STARKEN,260299262,ANTOFAGASTA,CALAMA,28900,13651,7990,7259,0,22-12-2025,,"Moda, Belleza, Otro"
4978566,17-12-2025,ENTREGADO,STARKEN,260308097,ANTOFAGASTA,TOCOPILLA,20990,6648.5,5000,9341.5,0,20-12-2025,,"Cocina, Hogar"
4978452,17-12-2025,CANCELADO,STARKEN,,METROPOLITANA DE SANTIAGO,CONCHALI,26990,,7200,5474,0,20-12-2025,,Salud
4978380,17-12-2025,ENTREGADO,STARKEN,260285054,LOS LAGOS,OSORNO,20990,9147.5,5000,6842.5,0,19-12-2025,,"Cocina, Hogar"
4978177,17-12-2025,EN DESTINO,STARKEN,260540725,ANTOFAGASTA,ANTOFAGASTA,26900,,7990,7259,0,23-12-2025,,Belleza
